Date,Open,High,Low,Close,Adj Close,Volume
19-10-2018,10339.70,10380.10,10249.60,10303.55,10303.55,357500
22-10-2018,10405.85,10408.55,10224.00,10245.25,10245.25,297300
23-10-2018,10152.60,10222.10,10102.35,10146.80,10146.80,302600
24-10-2018,10278.15,10290.65,10126.70,10224.75,10224.75,351400
25-10-2018,10135.05,10166.60,10079.30,10124.90,10124.90,0
26-10-2018,10122.35,10128.85,10004.55,10030.00,10030.00,364300
29-10-2018,10078.10,10275.30,10020.35,10250.85,10250.85,364400
30-10-2018,10239.40,10285.10,10175.35,10198.40,10198.40,289800
31-10-2018,10209.55,10396.00,10105.10,10386.60,10386.60,375000
01-11-2018,10441.70,10441.90,10341.90,10380.45,10380.45,348500
02-11-2018,10462.30,10606.95,10457.70,10553.00,10553.00,421200
05-11-2018,10558.75,10558.80,10477.00,10524.00,10524.00,301900
06-11-2018,10552.00,10600.25,10491.45,10530.00,10530.00,0
07-11-2018,10614.45,10616.45,10582.30,10598.40,10598.40,31200
09-11-2018,10614.70,10619.55,10544.85,10585.20,10585.20,296600
12-11-2018,10607.80,10645.50,10464.05,10482.20,10482.20,259700
13-11-2018,10451.90,10596.25,10440.55,10582.50,10582.50,254600
14-11-2018,10634.90,10651.60,10532.70,10576.30,10576.30,384500
15-11-2018,10580.60,10646.50,10557.50,10616.70,10616.70,0
16-11-2018,10644.00,10695.15,10631.15,10682.20,10682.20,342800
19-11-2018,10731.25,10774.70,10688.80,10763.40,10763.40,272100
20-11-2018,10740.10,10740.85,10640.85,10656.20,10656.20,295200
21-11-2018,10670.95,10671.30,10562.35,10600.05,10600.05,300900
22-11-2018,10612.65,10646.25,10512.00,10526.75,10526.75,239500
26-11-2018,10568.30,10637.80,10489.75,10628.60,10628.60,0
27-11-2018,10621.45,10695.15,10596.35,10685.60,10685.60,0
28-11-2018,10708.75,10757.80,10699.85,10728.85,10728.85,424500
29-11-2018,10808.70,10883.05,10782.35,10858.70,10858.70,691300
30-11-2018,10892.10,10922.45,10835.10,10876.75,10876.75,453900
03-12-2018,10930.70,10941.20,10845.35,10883.75,10883.75,409700
04-12-2018,10877.10,10890.95,10833.35,10869.50,10869.50,322100
05-12-2018,10820.45,10821.05,10747.95,10782.90,10782.90,312300
06-12-2018,10718.15,10722.65,10588.25,10601.15,10601.15,318500
07-12-2018,10644.80,10704.55,10599.35,10693.70,10693.70,325800
10-12-2018,10508.70,10558.85,10474.95,10488.45,10488.45,381300
11-12-2018,10350.05,10567.15,10333.85,10549.15,10549.15,425500
12-12-2018,10591.00,10752.20,10560.80,10737.60,10737.60,360500
13-12-2018,10810.75,10838.60,10749.50,10791.55,10791.55,376200
14-12-2018,10784.50,10815.75,10752.10,10805.45,10805.45,340100
17-12-2018,10853.20,10900.35,10844.85,10888.35,10888.35,296900
18-12-2018,10850.90,10915.40,10819.10,10908.70,10908.70,286100
19-12-2018,10930.55,10985.15,10928.00,10967.30,10967.30,312100
20-12-2018,10885.20,10962.55,10880.05,10951.70,10951.70,318900
21-12-2018,10944.25,10963.65,10738.65,10754.00,10754.00,377500
